staircase.thisTrialN,staircase.stepSize,staircase.intensity,thisRow.t,notes,trial.started,Fixation.started,Fixation.stopped,grating.started,key_resp.started,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,staircase.response,key_resp.rt,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
0,2,10.0,0.020006199998533702,,0.00798919999942882,0.020006199998533702,0.5432475999987219,0.5432475999987219,0.5432475999987219,0.8580638999992516,4.37321399999928,left,-10.0,1,1,3.68203960000028,147072,001,2025-09-03_12h44.46.300,Adaptive Staircase Experiment - Tutorial 1.0,,2025.1.1,60.78388108738277,2025-09-03 12h44.47.922555 +0530,
1,2,8.0,4.386462099999335,,4.373428899998544,4.386462099999335,4.873516599998766,4.873516599998766,4.873516599998766,5.176265299998704,5.441376799999489,right,8.0,1,1,0.5566911000005348,147072,001,2025-09-03_12h44.46.300,Adaptive Staircase Experiment - Tutorial 1.0,,2025.1.1,60.78388108738277,2025-09-03 12h44.47.922555 +0530,
2,2,6.0,5.4579006999993,,5.441727799998262,5.4579006999993,5.941063499998563,5.941063499998563,5.941063499998563,6.240410899999915,6.642432199998439,right,6.0,1,1,0.6844571000001451,147072,001,2025-09-03_12h44.46.300,Adaptive Staircase Experiment - Tutorial 1.0,,2025.1.1,60.78388108738277,2025-09-03 12h44.47.922555 +0530,
3,2,4.0,6.659933699998874,,6.6429136999995535,6.659933699998874,7.143284299998413,7.143284299998413,7.143284299998413,7.460044999999809,7.775640299998486,right,4.0,1,1,0.6215013000000909,147072,001,2025-09-03_12h44.46.300,Adaptive Staircase Experiment - Tutorial 1.0,,2025.1.1,60.78388108738277,2025-09-03 12h44.47.922555 +0530,
4,2,2.0,7.791835499998342,,7.775995299998613,7.791835499998342,8.276327499999752,8.276327499999752,8.276327499999752,8.590952099999413,9.204675199998746,right,2.0,1,1,0.9204709000005096,147072,001,2025-09-03_12h44.46.300,Adaptive Staircase Experiment - Tutorial 1.0,,2025.1.1,60.78388108738277,2025-09-03 12h44.47.922555 +0530,
5,1,1.0,9.221888499998386,,9.20487409999987,9.221888499998386,9.709858299998814,9.709858299998814,9.709858299998814,10.024073999999018,11.059765899999547,left,-1.0,0,0,1.344662999999855,147072,001,2025-09-03_12h44.46.300,Adaptive Staircase Experiment - Tutorial 1.0,,2025.1.1,60.78388108738277,2025-09-03 12h44.47.922555 +0530,
6,1,2.0,11.073668699998962,,11.060126899999887,11.073668699998962,11.558396399999765,11.558396399999765,11.558396399999765,11.859712699999363,12.210538299999826,right,2.0,1,1,0.6508111000002827,147072,001,2025-09-03_12h44.46.300,Adaptive Staircase Experiment - Tutorial 1.0,,2025.1.1,60.78388108738277,2025-09-03 12h44.47.922555 +0530,
7,1,2.0,12.226168999999572,,12.211016599998402,12.226168999999572,12.726079199999731,12.726079199999731,12.726079199999731,13.02538519999871,13.46122209999885,right,2.0,1,1,0.7275582999991457,147072,001,2025-09-03_12h44.46.300,Adaptive Staircase Experiment - Tutorial 1.0,,2025.1.1,60.78388108738277,2025-09-03 12h44.47.922555 +0530,
8,1,2.0,13.47710559999905,,13.4618090999993,13.47710559999905,13.976421699999264,13.976421699999264,13.976421699999264,14.273540899999716,14.595921099999032,right,2.0,1,1,0.6156787999989319,147072,001,2025-09-03_12h44.46.300,Adaptive Staircase Experiment - Tutorial 1.0,,2025.1.1,60.78388108738277,2025-09-03 12h44.47.922555 +0530,
9,1,1.0,14.608383899998444,,14.596245999999155,14.608383899998444,15.110250399999131,15.110250399999131,15.110250399999131,15.425946899998962,16.14296579999973,right,1.0,1,1,1.0208339000000706,147072,001,2025-09-03_12h44.46.300,Adaptive Staircase Experiment - Tutorial 1.0,,2025.1.1,60.78388108738277,2025-09-03 12h44.47.922555 +0530,
