thisN,thisTrialN,thisRepN,tilt,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,Fixation.started,key_resp.started,Fixation.stopped,trial.stopped,trials.tilt,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
12,0,12,-2,down,1,2.0015894999960437,None,12,0,12,0,15.816390099993441,,15.800765499996487,15.816390099993441,16.316884900035802,16.316884900035802,18.333123399992473,-2,down,1,2.0015894999960437,None,413440,001,2025-09-11_15h18.40.670,Orient Discrimination Experiment - Tutorial 2.0,,2025.1.1,60.66102316769985,2025-09-11 15h18.41.539000 +0530,
13,0,13,3,down,1,0.7639964999980293,None,13,0,13,0,18.34930830000667,,18.333494000020437,18.34930830000667,18.83306120004272,18.8497253000387,19.600904699997045,3,down,1,0.7639964999980293,None,413440,001,2025-09-11_15h18.40.670,Orient Discrimination Experiment - Tutorial 2.0,,2025.1.1,60.66102316769985,2025-09-11 15h18.41.539000 +0530,
14,0,14,3,down,1,0.7056834000395611,None,14,0,14,0,19.615862200036645,,19.60135720000835,19.615862200036645,20.116912900004536,20.116912900004536,20.83352330001071,3,down,1,0.7056834000395611,None,413440,001,2025-09-11_15h18.40.670,Orient Discrimination Experiment - Tutorial 2.0,,2025.1.1,60.66102316769985,2025-09-11 15h18.41.539000 +0530,
15,0,15,-5,down,1,0.6860912999836728,None,15,0,15,0,20.849484300008044,,20.833908000029624,20.849484300008044,21.334086499991827,21.350295200012624,22.033448700036388,-5,down,1,0.6860912999836728,None,413440,001,2025-09-11_15h18.40.670,Orient Discrimination Experiment - Tutorial 2.0,,2025.1.1,60.66102316769985,2025-09-11 15h18.41.539000 +0530,
16,0,16,3,down,1,0.6487189999897964,None,16,0,16,0,22.049034900031984,,22.033793300040998,22.049034900031984,22.532855299999937,22.549661500030197,23.185099499998614,3,down,1,0.6487189999897964,None,413440,001,2025-09-11_15h18.40.670,Orient Discrimination Experiment - Tutorial 2.0,,2025.1.1,60.66102316769985,2025-09-11 15h18.41.539000 +0530,
17,0,17,1,down,1,0.8053332999697886,None,17,0,17,0,23.19961950002471,,23.185578600037843,23.19961950002471,23.69986340001924,23.69986340001924,24.51784799998859,1,down,1,0.8053332999697886,None,413440,001,2025-09-11_15h18.40.670,Orient Discrimination Experiment - Tutorial 2.0,,2025.1.1,60.66102316769985,2025-09-11 15h18.41.539000 +0530,
18,0,18,0,up,1,1.1455876000109129,None,18,0,18,0,24.533338900015224,,24.518184899992775,24.533338900015224,25.032735000015236,25.032735000015236,26.183397700020578,0,up,1,1.1455876000109129,None,413440,001,2025-09-11_15h18.40.670,Orient Discrimination Experiment - Tutorial 2.0,,2025.1.1,60.66102316769985,2025-09-11 15h18.41.539000 +0530,
19,0,19,-4,down,1,0.8549441000213847,None,19,0,19,0,26.19963290001033,,26.183804100030102,26.19963290001033,26.699640100006945,26.699640100006945,27.566651800007094,-4,down,1,0.8549441000213847,None,413440,001,2025-09-11_15h18.40.670,Orient Discrimination Experiment - Tutorial 2.0,,2025.1.1,60.66102316769985,2025-09-11 15h18.41.539000 +0530,
20,0,20,1,down,1,0.8329632999957539,None,20,0,20,0,27.582315600011498,,27.5669752000249,27.582315600011498,28.0664016000228,28.082491000008304,28.901810300012585,1,down,1,0.8329632999957539,None,413440,001,2025-09-11_15h18.40.670,Orient Discrimination Experiment - Tutorial 2.0,,2025.1.1,60.66102316769985,2025-09-11 15h18.41.539000 +0530,
21,0,21,0,up,1,0.6000118000083603,None,21,0,21,0,28.915818400040735,,28.902298200002406,28.915818400040735,29.416544200037606,29.416544200037606,30.017705800011754,0,up,1,0.6000118000083603,None,413440,001,2025-09-11_15h18.40.670,Orient Discrimination Experiment - Tutorial 2.0,,2025.1.1,60.66102316769985,2025-09-11 15h18.41.539000 +0530,
22,0,22,0,up,1,0.563319600012619,None,22,0,22,0,30.03264059999492,,30.018071300000884,30.03264059999492,30.532659300020896,30.532659300020896,31.100462600006722,0,up,1,0.563319600012619,None,413440,001,2025-09-11_15h18.40.670,Orient Discrimination Experiment - Tutorial 2.0,,2025.1.1,60.66102316769985,2025-09-11 15h18.41.539000 +0530,
23,0,23,1,down,1,0.8768444000161253,None,23,0,23,0,31.115699800022412,,31.100820199993905,31.115699800022412,31.616108799993526,31.616108799993526,32.50012179999612,1,down,1,0.8768444000161253,None,413440,001,2025-09-11_15h18.40.670,Orient Discrimination Experiment - Tutorial 2.0,,2025.1.1,60.66102316769985,2025-09-11 15h18.41.539000 +0530,
24,0,24,-5,down,1,1.1019944000290707,None,24,0,24,0,32.51516820001416,,32.50057790003484,32.51516820001416,32.99971820000792,33.01590090000536,34.117101999989245,-5,down,1,1.1019944000290707,None,413440,001,2025-09-11_15h18.40.670,Orient Discrimination Experiment - Tutorial 2.0,,2025.1.1,60.66102316769985,2025-09-11 15h18.41.539000 +0530,
25,0,25,0,up,1,1.053775099979248,None,25,0,25,0,34.132462900015526,,34.11753950000275,34.132462900015526,34.63236119999783,34.63236119999783,35.70063959999243,0,up,1,1.053775099979248,None,413440,001,2025-09-11_15h18.40.670,Orient Discrimination Experiment - Tutorial 2.0,,2025.1.1,60.66102316769985,2025-09-11 15h18.41.539000 +0530,
26,0,26,3,down,1,0.5863546000327915,None,26,0,26,0,35.71526590001304,,35.700997700041626,35.71526590001304,36.21544759999961,36.21544759999961,36.81658750004135,3,down,1,0.5863546000327915,None,413440,001,2025-09-11_15h18.40.670,Orient Discrimination Experiment - Tutorial 2.0,,2025.1.1,60.66102316769985,2025-09-11 15h18.41.539000 +0530,
27,0,27,0,up,1,0.7279733000323176,None,27,0,27,0,36.83196700003464,,36.81689409998944,36.83196700003464,37.31591820000904,37.332639800035395,38.04931730002863,0,up,1,0.7279733000323176,None,413440,001,2025-09-11_15h18.40.670,Orient Discrimination Experiment - Tutorial 2.0,,2025.1.1,60.66102316769985,2025-09-11 15h18.41.539000 +0530,
